metabolic,N_P_nonNA,N_N_nonNA,detected_P,detected_N,NA_test_pvalue,NA_test_used
2-Phosphoglyceric acid,183,14,100.00%,100.00%,1,Fisher
Azelaic acid,183,14,100.00%,100.00%,1,Fisher
"4,6-Dihydroxy-2-quinolinecarboxylic acid",183,14,100.00%,100.00%,1,Fisher
D-Glucuronic acid,183,14,100.00%,100.00%,1,Fisher
Indoxyl sulfate,183,14,100.00%,100.00%,1,Fisher
Pantothenic acid,183,14,100.00%,100.00%,1,Fisher
L-Cystathionine,183,14,100.00%,100.00%,1,Fisher
3-Nitrotyrosine,183,14,100.00%,100.00%,1,Fisher
Myristic acid,183,14,100.00%,100.00%,1,Fisher
D-Ribose 5-phosphate,183,14,100.00%,100.00%,1,Fisher
Biotin,183,14,100.00%,100.00%,1,Fisher
Fructose 6-phosphate,180,14,98.36%,100.00%,1,Fisher
Glucose 6-phosphate,180,14,98.36%,100.00%,1,Fisher
Heptadecanoic acid,183,14,100.00%,100.00%,1,Fisher
Linoelaidic acid,183,14,100.00%,100.00%,1,Fisher
Alpha-Linolenic acid,183,14,100.00%,100.00%,1,Fisher
Xanthosine,183,14,100.00%,100.00%,1,Fisher
Argininosuccinic acid,183,14,100.00%,100.00%,1,Fisher
13-HODE,183,14,100.00%,100.00%,1,Fisher
Arachidonic acid,183,14,100.00%,100.00%,1,Fisher
N-Acetylneuraminic acid,183,14,100.00%,100.00%,1,Fisher
Tetranor 12-HETE,183,14,100.00%,100.00%,1,Fisher
5-Thymidylic acid,171,13,93.44%,92.86%,1,Fisher
"Alpha-D-Glucose 1,6-bisphosphate",183,14,100.00%,100.00%,1,Fisher
"Fructose 1,6-bisphosphate",182,14,99.45%,100.00%,1,Fisher
Alpha-Lactose,183,14,100.00%,100.00%,1,Fisher
Sucrose,183,14,100.00%,100.00%,1,Fisher
Gibberellin A3,183,14,100.00%,100.00%,1,Fisher
Adenosine monophosphate,183,14,100.00%,100.00%,1,Fisher
Inosinic acid,183,14,100.00%,100.00%,1,Fisher
