"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
43,"test_clin","0","-0.462 - 0.462","1","0.4296","0.1988 - 0.6605","0.00026"
43,"test_full","0.875","0.6458 - 1.1042","0","0.4296","0.1988 - 0.6605","0.00026"
43,"train_clin","0.3722","0.1018 - 0.6425","0.00697","0.3995","0.2893 - 0.5096","0"
43,"train_full","0.515","0.2152 - 0.8148","0.00076","0.3995","0.2893 - 0.5096","0"
46,"test_clin","-0.0417","-0.6374 - 0.554","0.89096","0.3646","0.1114 - 0.6178","0.00477"
46,"test_full","0.75","0.4499 - 1.0501","0","0.3646","0.1114 - 0.6178","0.00477"
46,"train_clin","0.1955","-0.0924 - 0.4834","0.18322","0.4156","0.2925 - 0.5386","0"
46,"train_full","0.6241","0.3461 - 0.9021","1e-05","0.4156","0.2925 - 0.5386","0"
47,"test_clin","-0.5","-0.9001 - -0.0999","0.01431","0.0205","-0.208 - 0.249","0.86039"
47,"test_full","0.5","0.01 - 0.99","0.0455","0.0205","-0.208 - 0.249","0.86039"
47,"train_clin","0.3534","0.0272 - 0.6796","0.03372","0.4855","0.3566 - 0.6144","0"
47,"train_full","0.6767","0.383 - 0.9704","1e-05","0.4855","0.3566 - 0.6144","0"
48,"test_clin","-0.1667","-0.4649 - 0.1315","0.27332","0.1599","-0.0081 - 0.328","0.06209"
48,"test_full","0","0 - 0",NA,"0.1599","-0.0081 - 0.328","0.06209"
48,"train_clin","0.2481","-0.1139 - 0.6101","0.17914","0.2913","0.1623 - 0.4203","1e-05"
48,"train_full","0.3722","0.0371 - 0.7073","0.02948","0.2913","0.1623 - 0.4203","1e-05"
5,"test_clin","0.0833","-0.3397 - 0.5064","0.69943","0.3","0.0742 - 0.5258","0.00921"
5,"test_full","0.5","0.0999 - 0.9001","0.01431","0.3","0.0742 - 0.5258","0.00921"
5,"train_clin","0.391","0.117 - 0.6649","0.00515","0.4143","0.3054 - 0.5233","0"
5,"train_full","0.6241","0.3461 - 0.9021","1e-05","0.4143","0.3054 - 0.5233","0"
51,"test_clin","-0.0417","-0.6374 - 0.554","0.89096","0.1405","-0.0897 - 0.3707","0.23156"
51,"test_full","0.5","0.1535 - 0.8465","0.00468","0.1405","-0.0897 - 0.3707","0.23156"
51,"train_clin","0.3008","0.0548 - 0.5467","0.01654","0.378","0.26 - 0.4959","0"
51,"train_full","0.5","0.2002 - 0.7998","0.00108","0.378","0.26 - 0.4959","0"
52,"test_clin","0","0 - 0",NA,"0.2255","0.0503 - 0.4007","0.01166"
52,"test_full","0.3333","-0.1788 - 0.8455","0.2021","0.2255","0.0503 - 0.4007","0.01166"
52,"train_clin","0.1241","-0.1357 - 0.3838","0.34925","0.2928","0.1809 - 0.4048","0"
52,"train_full","0.5526","0.2721 - 0.8331","0.00011","0.2928","0.1809 - 0.4048","0"
54,"test_clin","0.0417","-0.554 - 0.6374","0.89096","0.112","-0.125 - 0.3489","0.35428"
54,"test_full","0.5","0.0999 - 0.9001","0.01431","0.112","-0.125 - 0.3489","0.35428"
54,"train_clin","0.1767","-0.0998 - 0.4532","0.21036","0.26","0.1518 - 0.3682","0"
54,"train_full","0.4812","0.2032 - 0.7592","0.00069","0.26","0.1518 - 0.3682","0"
55,"test_clin","0.1667","-0.1315 - 0.4649","0.27332","0.2208","0.0916 - 0.35","0.00081"
55,"test_full","0.5833","0.1013 - 1.0653","0.01769","0.2208","0.0916 - 0.35","0.00081"
