"","i","train_auc_clin","acc_train_clin","test_auc_clin","acc_test_clin","Sens_train","Spec_train","PPV_train","NPV_train","Sens_test","Spec_test","PPV_test","NPV_test"
"70",70,0.796969696969697,0.72972972972973,0.526984126984127,0.527777777777778,80,72.7,66.7,84.2,33.3,90.5,71.4,65.5
"71",71,0.727272727272727,0.72972972972973,0.552380952380952,0.555555555555556,46.7,90.9,77.8,71.4,40,81,60,65.4
"72",72,0.543939393939394,0.594594594594595,0.755555555555556,0.416666666666667,33.3,100,100,68.8,86.7,57.1,59.1,85.7
"73",73,0.786363636363636,0.621621621621622,0.477777777777778,0.611111111111111,80,72.7,66.7,84.2,26.7,95.2,80,64.5
"74",74,0.674242424242424,0.513513513513513,0.641269841269841,0.638888888888889,73.3,63.6,57.9,77.8,40,100,100,70
"75",75,0.716666666666667,0.675675675675676,0.517460317460317,0.611111111111111,86.7,63.6,61.9,87.5,13.3,100,100,61.8
"76",76,0.710606060606061,0.756756756756757,0.595238095238095,0.527777777777778,53.3,100,100,75.9,80,42.9,50,75
"77",77,0.637878787878788,0.432432432432432,0.688888888888889,0.583333333333333,86.7,45.5,52,83.3,46.7,95.2,87.5,71.4
"78",78,0.603030303030303,0.648648648648649,0.726984126984127,0.416666666666667,33.3,95.5,83.3,67.7,93.3,42.9,53.8,90
"79",79,0.715151515151515,0.621621621621622,0.611111111111111,0.611111111111111,66.7,77.3,66.7,77.3,40,85.7,66.7,66.7
"80",80,0.675757575757576,0.72972972972973,0.619047619047619,0.555555555555556,53.3,90.9,80,74.1,93.3,33.3,50,87.5
"81",81,0.590909090909091,0.702702702702703,0.692063492063492,0.444444444444444,33.3,95.5,83.3,67.7,86.7,47.6,54.2,83.3
"82",82,0.657575757575758,0.675675675675676,0.676190476190476,0.583333333333333,40,95.5,85.7,70,60,71.4,60,71.4
"83",83,0.684848484848485,0.675675675675676,0.6,0.666666666666667,60,77.3,64.3,73.9,40,90.5,75,67.9
"84",84,0.621212121212121,0.675675675675676,0.695238095238095,0.638888888888889,33.3,100,100,68.8,66.7,71.4,62.5,75
"85",85,0.609090909090909,0.675675675675676,0.679365079365079,0.583333333333333,40,90.9,75,69,86.7,52.4,56.5,84.6
"86",86,0.801515151515152,0.675675675675676,0.49047619047619,0.583333333333333,73.3,72.7,64.7,80,26.7,95.2,80,64.5
"87",87,0.559090909090909,0.405405405405405,0.787301587301587,0.416666666666667,60,59.1,50,68.4,80,76.2,70.6,84.2
"88",88,0.503030303030303,0.405405405405405,0.638095238095238,0.583333333333333,100,18.2,45.5,100,46.7,90.5,77.8,70.4
"89",89,0.675757575757576,0.432432432432432,0.66984126984127,0.583333333333333,86.7,50,54.2,84.6,46.7,95.2,87.5,71.4
"90",90,0.643939393939394,0.648648648648649,0.665079365079365,0.666666666666667,40,86.4,66.7,67.9,46.7,95.2,87.5,71.4
"91",91,0.774242424242424,0.648648648648649,0.577777777777778,0.694444444444444,73.3,68.2,61.1,78.9,40,95.2,85.7,69
"92",92,0.733333333333333,0.756756756756757,0.552380952380952,0.611111111111111,53.3,95.5,88.9,75,33.3,85.7,62.5,64.3
"93",93,0.737878787878788,0.702702702702703,0.579365079365079,0.694444444444444,53.3,95.5,88.9,75,26.7,100,100,65.6
"94",94,0.624242424242424,0.486486486486487,0.673015873015873,0.583333333333333,86.7,40.9,50,81.8,60,81,69.2,73.9
"95",95,0.740909090909091,0.540540540540541,0.553968253968254,0.666666666666667,100,45.5,55.6,100,33.3,95.2,83.3,66.7
"96",96,0.681818181818182,0.72972972972973,0.622222222222222,0.638888888888889,53.3,90.9,80,74.1,46.7,81,63.6,68
"97",97,0.760606060606061,0.810810810810811,0.533333333333333,0.527777777777778,66.7,90.9,83.3,80,86.7,38.1,50,80
"98",98,0.612121212121212,0.594594594594595,0.679365079365079,0.583333333333333,46.7,86.4,70,70.4,46.7,95.2,87.5,71.4
"99",99,0.712121212121212,0.432432432432432,0.576190476190476,0.638888888888889,86.7,54.5,56.5,85.7,26.7,95.2,80,64.5
"100",100,0.607575757575758,0.405405405405405,0.696825396825397,0.583333333333333,86.7,45.5,52,83.3,53.3,90.5,80,73.1
