"iter","model","nri_value","nri_ci","nri_p","idi_value","idi_ci","idi_p"
43,"train_full","0.4714","0.2167 - 0.7261","0.00029","0.2856","0.2034 - 0.3677","0"
44,"test_clin","0","0 - 0",NA,"0.2353","0.1528 - 0.3177","0"
44,"test_full","0.8462","0.65 - 1.0423","0","0.2353","0.1528 - 0.3177","0"
44,"train_clin","0.2952","0.0177 - 0.5728","0.03706","0.1952","0.1262 - 0.2641","0"
44,"train_full","0.4476","0.1408 - 0.7544","0.00424","0.1952","0.1262 - 0.2641","0"
45,"test_clin","-0.0427","-0.4616 - 0.3762","0.84152","0.1804","0.0218 - 0.339","0.02577"
45,"test_full","0.5043","0.1695 - 0.8391","0.00316","0.1804","0.0218 - 0.339","0.02577"
45,"train_clin","0.3667","0.0857 - 0.6476","0.01052","0.337","0.2496 - 0.4243","0"
45,"train_full","0.4905","0.232 - 0.749","2e-04","0.337","0.2496 - 0.4243","0"
46,"test_clin","-0.1111","-0.6793 - 0.457","0.70149","0.1674","-0.0011 - 0.3359","0.05157"
46,"test_full","0.5812","0.257 - 0.9054","0.00044","0.1674","-0.0011 - 0.3359","0.05157"
46,"train_clin","0.281","0.0125 - 0.5494","0.04027","0.35","0.2589 - 0.4411","0"
46,"train_full","0.6571","0.3638 - 0.9505","1e-05","0.35","0.2589 - 0.4411","0"
47,"test_clin","-0.0769","-0.4173 - 0.2634","0.65778","0.1957","0.1148 - 0.2766","0"
47,"test_full","0.6068","0.2277 - 0.9859","0.0017","0.1957","0.1148 - 0.2766","0"
47,"train_clin","0.2476","-0.0269 - 0.5221","0.07707","0.2133","0.1386 - 0.2879","0"
47,"train_full","0.4952","0.2431 - 0.7474","0.00012","0.2133","0.1386 - 0.2879","0"
48,"test_clin","-0.1111","-0.4759 - 0.2537","0.55053","0.2116","0.1048 - 0.3184","1e-04"
48,"test_full","0.3761","-0.1698 - 0.922","0.17695","0.2116","0.1048 - 0.3184","1e-04"
48,"train_clin","0.2619","-0.021 - 0.5448","0.06955","0.234","0.1568 - 0.3112","0"
48,"train_full","0.5429","0.2945 - 0.7912","2e-05","0.234","0.1568 - 0.3112","0"
49,"test_clin","-0.1111","-0.5926 - 0.3704","0.65108","0.1516","-0.0424 - 0.3457","0.12565"
49,"test_full","0.5726","0.1139 - 1.0314","0.01442","0.1516","-0.0424 - 0.3457","0.12565"
49,"train_clin","0.4238","0.1211 - 0.7265","0.00607","0.2949","0.2152 - 0.3746","0"
49,"train_full","0.581","0.2822 - 0.8797","0.00014","0.2949","0.2152 - 0.3746","0"
5,"test_clin","-0.1538","-0.6274 - 0.3197","0.52428","0.2261","0.0169 - 0.4353","0.03412"
5,"test_full","0.7607","0.377 - 1.1444","1e-04","0.2261","0.0169 - 0.4353","0.03412"
5,"train_clin","0.1714","-0.1042 - 0.4471","0.22291","0.3444","0.2465 - 0.4422","0"
5,"train_full","0.4952","0.2606 - 0.7298","4e-05","0.3444","0.2465 - 0.4422","0"
50,"test_clin","-0.0684","-0.5235 - 0.3867","0.76838","0.1719","-0.0014 - 0.3451","0.05182"
50,"test_full","0.6923","0.1897 - 1.195","0.00694","0.1719","-0.0014 - 0.3451","0.05182"
50,"train_clin","0.3286","0.057 - 0.6001","0.01772","0.3179","0.223 - 0.4128","0"
50,"train_full","0.5905","0.3246 - 0.8563","1e-05","0.3179","0.223 - 0.4128","0"
51,"test_clin","-0.0769","-0.2218 - 0.0679","0.29795","0.2179","0.0219 - 0.4138","0.02931"
51,"test_full","0.7179","0.2084 - 1.2275","0.00575","0.2179","0.0219 - 0.4138","0.02931"
51,"train_clin","0.3048","0.0635 - 0.5461","0.01331","0.3072","0.2183 - 0.3961","0"
51,"train_full","0.5238","0.2734 - 0.7742","4e-05","0.3072","0.2183 - 0.3961","0"
52,"test_clin","0.1111","-0.3161 - 0.5383","0.61018","0.2095","0.094 - 0.3249","0.00038"
52,"test_full","0.5897","0.1881 - 0.9914","0.004","0.2095","0.094 - 0.3249","0.00038"
52,"train_clin","0.1286","-0.1543 - 0.4114","0.37294","0.1688","0.1034 - 0.2342","0"
52,"train_full","0.5952","0.3237 - 0.8668","2e-05","0.1688","0.1034 - 0.2342","0"
53,"test_clin","0","-0.308 - 0.308","1","0.1779","0.0742 - 0.2815","0.00077"
53,"test_full","0.6325","0.2179 - 1.047","0.00279","0.1779","0.0742 - 0.2815","0.00077"
53,"train_clin","0.1095","-0.1542 - 0.3733","0.41568","0.1368","0.0714 - 0.2021","4e-05"
53,"train_full","0.4619","0.2222 - 0.7016","0.00016","0.1368","0.0714 - 0.2021","4e-05"
54,"test_clin","-0.1966","-0.6438 - 0.2506","0.38889","0.2234","-0.045 - 0.4918","0.10285"
54,"test_full","0.5385","0.2675 - 0.8095","1e-04","0.2234","-0.045 - 0.4918","0.10285"
54,"train_clin","0.5667","0.3029 - 0.8305","3e-05","0.4801","0.3825 - 0.5776","0"
54,"train_full","0.7762","0.5964 - 0.956","0","0.4801","0.3825 - 0.5776","0"
55,"test_clin","0.4957","0.0451 - 0.9463","0.03105","0.2343","0.0962 - 0.3724","0.00088"
55,"test_full","0.7436","0.342 - 1.1452","0.00028","0.2343","0.0962 - 0.3724","0.00088"
55,"train_clin","0.0476","-0.1601 - 0.2553","0.65317","0.1436","0.0762 - 0.2111","3e-05"
55,"train_full","0.2238","0.044 - 0.4036","0.01471","0.1436","0.0762 - 0.2111","3e-05"
56,"test_clin","0.3077","-0.1388 - 0.7542","0.17677","0.2782","0.1601 - 0.3963","0"
56,"test_full","0.6239","0.2889 - 0.959","0.00026","0.2782","0.1601 - 0.3963","0"
56,"train_clin","0.2476","-0.042 - 0.5373","0.09382","0.1601","0.0835 - 0.2367","4e-05"
56,"train_full","0.3952","0.1222 - 0.6683","0.00455","0.1601","0.0835 - 0.2367","4e-05"
57,"test_clin","0.4872","0.0643 - 0.91","0.02393","0.2786","0.116 - 0.4412","0.00078"
57,"test_full","0.6325","0.2179 - 1.047","0.00279","0.2786","0.116 - 0.4412","0.00078"
57,"train_clin","0.2714","0.0035 - 0.5394","0.04711","0.195","0.1096 - 0.2803","1e-05"
57,"train_full","0.3667","0.0851 - 0.6482","0.0107","0.195","0.1096 - 0.2803","1e-05"
58,"test_clin","0.1453","-0.2292 - 0.5198","0.44694","0.2761","0.1135 - 0.4388","0.00088"
58,"test_full","0.6923","0.4414 - 0.9432","0","0.2761","0.1135 - 0.4388","0.00088"
58,"train_clin","0.281","0.0296 - 0.5324","0.0285","0.2813","0.2 - 0.3627","0"
58,"train_full","0.4048","0.1546 - 0.6549","0.00152","0.2813","0.2 - 0.3627","0"
59,"test_clin","0.0684","-0.3287 - 0.4655","0.73576","0.2487","0.1198 - 0.3777","0.00016"
59,"test_full","0.6838","0.3001 - 1.0674","0.00048","0.2487","0.1198 - 0.3777","0.00016"
59,"train_clin","0.3429","0.0638 - 0.6219","0.01602","0.2451","0.1687 - 0.3214","0"
59,"train_full","0.7","0.4191 - 0.9809","0","0.2451","0.1687 - 0.3214","0"
6,"test_clin","0.2308","-0.2573 - 0.7189","0.35409","0.2257","0.0319 - 0.4196","0.02247"
6,"test_full","0.5214","-0.0373 - 1.0801","0.0674","0.2257","0.0319 - 0.4196","0.02247"
6,"train_clin","0.2476","-0.0102 - 0.5054","0.05978","0.3292","0.2301 - 0.4282","0"
6,"train_full","0.4429","0.1837 - 0.702","0.00081","0.3292","0.2301 - 0.4282","0"
60,"test_clin","0.0342","-0.2171 - 0.2855","0.78972","0.2103","0.0874 - 0.3332","0.00079"
60,"test_full","0.5385","0.2675 - 0.8095","1e-04","0.2103","0.0874 - 0.3332","0.00079"
60,"train_clin","0.3095","0.021 - 0.598","0.03546","0.2256","0.1424 - 0.3089","0"
60,"train_full","0.4762","0.2258 - 0.7266","0.00019","0.2256","0.1424 - 0.3089","0"
61,"test_clin","-0.188","-0.5855 - 0.2095","0.35382","0.2251","0.1018 - 0.3485","0.00035"
61,"test_full","0.453","0.0386 - 0.8674","0.03214","0.2251","0.1018 - 0.3485","0.00035"
61,"train_clin","0.3476","0.077 - 0.6182","0.01181","0.2392","0.1568 - 0.3217","0"
61,"train_full","0.4286","0.1798 - 0.6773","0.00073","0.2392","0.1568 - 0.3217","0"
62,"test_clin","0.0684","-0.3867 - 0.5235","0.76838","0.1723","0.0355 - 0.3092","0.01355"
62,"test_full","0.5556","0.2309 - 0.8802","8e-04","0.1723","0.0355 - 0.3092","0.01355"
62,"train_clin","0.1524","-0.1271 - 0.4318","0.28517","0.2821","0.1929 - 0.3713","0"
62,"train_full","0.519","0.2676 - 0.7704","5e-05","0.2821","0.1929 - 0.3713","0"
63,"test_clin","0.1624","-0.2167 - 0.5415","0.40114","0.2457","0.0588 - 0.4326","0.00996"
63,"test_full","0.5043","0.1695 - 0.8391","0.00316","0.2457","0.0588 - 0.4326","0.00996"
63,"train_clin","0.2333","-0.0305 - 0.4971","0.083","0.2768","0.1874 - 0.3662","0"
63,"train_full","0.3143","0.0882 - 0.5404","0.00643","0.2768","0.1874 - 0.3662","0"
64,"test_clin","0.2735","-0.0613 - 0.6083","0.10936","0.1781","0.0628 - 0.2934","0.00247"
64,"test_full","0.5556","0.1672 - 0.944","0.00506","0.1781","0.0628 - 0.2934","0.00247"
64,"train_clin","0.3143","0.0532 - 0.5754","0.01832","0.2022","0.1257 - 0.2786","0"
64,"train_full","0.3619","0.0976 - 0.6262","0.00727","0.2022","0.1257 - 0.2786","0"
65,"test_clin","-0.1966","-0.7395 - 0.3464","0.47794","0.0796","-0.0966 - 0.2558","0.37603"
