"","i","train_auc","train_sen","test_auc","test_sen"
"67",67,0.921212121212121,"Sens:80.0%
Spec:95.5%
PPV:92.3%
NPV:87.5%
",0.765079365079365,"Sens:93.3%
Spec:52.4%
PPV:58.3%
NPV:91.7%
"
"68",68,0.903030303030303,"Sens:86.7%
Spec:81.8%
PPV:76.5%
NPV:90.0%
",0.761904761904762,"Sens:66.7%
Spec:81.0%
PPV:71.4%
NPV:77.3%
"
"69",69,0.824242424242424,"Sens:93.3%
Spec:59.1%
PPV:60.9%
NPV:92.9%
",0.815873015873016,"Sens:100.0%
Spec:57.1%
PPV:62.5%
NPV:100.0%
"
"70",70,0.939393939393939,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.679365079365079,"Sens:100.0%
Spec:42.9%
PPV:55.6%
NPV:100.0%
"
"71",71,0.945454545454545,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.726984126984127,"Sens:86.7%
Spec:57.1%
PPV:59.1%
NPV:85.7%
"
"72",72,0.915151515151515,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.815873015873016,"Sens:86.7%
Spec:71.4%
PPV:68.4%
NPV:88.2%
"
"73",73,0.866666666666667,"Sens:66.7%
Spec:95.5%
PPV:90.9%
NPV:80.8%
",0.79047619047619,"Sens:100.0%
Spec:57.1%
PPV:62.5%
NPV:100.0%
"
"74",74,0.854545454545454,"Sens:93.3%
Spec:63.6%
PPV:63.6%
NPV:93.3%
",0.828571428571429,"Sens:73.3%
Spec:76.2%
PPV:68.8%
NPV:80.0%
"
"75",75,0.939393939393939,"Sens:93.3%
Spec:81.8%
PPV:77.8%
NPV:94.7%
",0.720634920634921,"Sens:86.7%
Spec:61.9%
PPV:61.9%
NPV:86.7%
"
"76",76,0.972727272727273,"Sens:93.3%
Spec:90.9%
PPV:87.5%
NPV:95.2%
",0.641269841269841,"Sens:46.7%
Spec:85.7%
PPV:70.0%
NPV:69.2%
"
"77",77,0.872727272727273,"Sens:80.0%
Spec:77.3%
PPV:70.6%
NPV:85.0%
",0.796825396825397,"Sens:80.0%
Spec:71.4%
PPV:66.7%
NPV:83.3%
"
"78",78,0.915151515151515,"Sens:86.7%
Spec:86.4%
PPV:81.2%
NPV:90.5%
",0.768253968253968,"Sens:93.3%
Spec:52.4%
PPV:58.3%
NPV:91.7%
"
"79",79,0.842424242424242,"Sens:66.7%
Spec:90.9%
PPV:83.3%
NPV:80.0%
",0.831746031746032,"Sens:93.3%
Spec:61.9%
PPV:63.6%
NPV:92.9%
"
"80",80,0.936363636363636,"Sens:86.7%
Spec:90.9%
PPV:86.7%
NPV:90.9%
",0.73968253968254,"Sens:80.0%
Spec:76.2%
PPV:70.6%
NPV:84.2%
"
"81",81,0.848484848484849,"Sens:93.3%
Spec:63.6%
PPV:63.6%
NPV:93.3%
",0.825396825396825,"Sens:86.7%
Spec:66.7%
PPV:65.0%
NPV:87.5%
"
"82",82,0.954545454545454,"Sens:93.3%
Spec:90.9%
PPV:87.5%
NPV:95.2%
",0.720634920634921,"Sens:86.7%
Spec:61.9%
PPV:61.9%
NPV:86.7%
"
"83",83,0.957575757575758,"Sens:100.0%
Spec:77.3%
PPV:75.0%
NPV:100.0%
",0.736507936507936,"Sens:100.0%
Spec:38.1%
PPV:53.6%
NPV:100.0%
"
"84",84,0.9,"Sens:80.0%
Spec:90.9%
PPV:85.7%
NPV:87.0%
",0.803174603174603,"Sens:73.3%
Spec:76.2%
PPV:68.8%
NPV:80.0%
"
"85",85,0.921212121212121,"Sens:80.0%
Spec:90.9%
PPV:85.7%
NPV:87.0%
",0.796825396825397,"Sens:93.3%
Spec:66.7%
PPV:66.7%
NPV:93.3%
"
"86",86,0.963636363636364,"Sens:86.7%
Spec:95.5%
PPV:92.9%
NPV:91.3%
",0.584126984126984,"Sens:100.0%
Spec:28.6%
PPV:50.0%
NPV:100.0%
"
"87",87,0.909090909090909,"Sens:93.3%
Spec:90.9%
PPV:87.5%
NPV:95.2%
",0.685714285714286,"Sens:80.0%
Spec:61.9%
PPV:60.0%
NPV:81.2%
"
"88",88,0.893939393939394,"Sens:86.7%
Spec:81.8%
PPV:76.5%
NPV:90.0%
",0.603174603174603,"Sens:86.7%
Spec:38.1%
PPV:50.0%
NPV:80.0%
"
"89",89,0.893939393939394,"Sens:100.0%
Spec:72.7%
PPV:71.4%
NPV:100.0%
",0.815873015873016,"Sens:66.7%
Spec:85.7%
PPV:76.9%
NPV:78.3%
"
"90",90,0.954545454545455,"Sens:80.0%
Spec:95.5%
PPV:92.3%
NPV:87.5%
",0.653968253968254,"Sens:100.0%
Spec:38.1%
PPV:53.6%
NPV:100.0%
"
"91",91,0.893939393939394,"Sens:73.3%
Spec:90.9%
PPV:84.6%
NPV:83.3%
",0.780952380952381,"Sens:80.0%
Spec:71.4%
PPV:66.7%
NPV:83.3%
"
"92",92,0.933333333333333,"Sens:73.3%
Spec:100.0%
PPV:100.0%
NPV:84.6%
",0.746031746031746,"Sens:93.3%
Spec:47.6%
PPV:56.0%
NPV:90.9%
"
"93",93,0.893939393939394,"Sens:73.3%
Spec:90.9%
PPV:84.6%
NPV:83.3%
",0.768253968253968,"Sens:73.3%
Spec:76.2%
PPV:68.8%
NPV:80.0%
"
"94",94,0.821212121212121,"Sens:93.3%
Spec:63.6%
PPV:63.6%
NPV:93.3%
",0.863492063492063,"Sens:93.3%
Spec:66.7%
PPV:66.7%
NPV:93.3%
"
"95",95,0.909090909090909,"Sens:93.3%
Spec:81.8%
PPV:77.8%
NPV:94.7%
",0.723809523809524,"Sens:93.3%
Spec:52.4%
PPV:58.3%
NPV:91.7%
"
"96",96,0.927272727272727,"Sens:100.0%
Spec:72.7%
PPV:71.4%
NPV:100.0%
",0.819047619047619,"Sens:86.7%
Spec:66.7%
PPV:65.0%
NPV:87.5%
"
"97",97,0.909090909090909,"Sens:80.0%
Spec:95.5%
PPV:92.3%
NPV:87.5%
",0.701587301587302,"Sens:86.7%
Spec:57.1%
PPV:59.1%
NPV:85.7%
"
"98",98,0.836363636363636,"Sens:80.0%
Spec:81.8%
PPV:75.0%
NPV:85.7%
",0.850793650793651,"Sens:80.0%
Spec:76.2%
PPV:70.6%
NPV:84.2%
"
"99",99,0.909090909090909,"Sens:93.3%
Spec:77.3%
PPV:73.7%
NPV:94.4%
",0.720634920634921,"Sens:66.7%
Spec:81.0%
PPV:71.4%
NPV:77.3%
"
"100",100,0.954545454545455,"Sens:100.0%
Spec:86.4%
PPV:83.3%
NPV:100.0%
",0.774603174603175,"Sens:53.3%
Spec:95.2%
PPV:88.9%
NPV:74.1%
"
