"","i","train_auc","train_sen","test_auc","test_sen"
"35",35,0.746969696969697,"Sens:46.7%
Spec:100.0%
PPV:100.0%
NPV:73.3%
",0.542857142857143,"Sens:20.0%
Spec:100.0%
PPV:100.0%
NPV:63.6%
"
"36",36,0.7,"Sens:53.3%
Spec:100.0%
PPV:100.0%
NPV:75.9%
",0.59047619047619,"Sens:93.3%
Spec:38.1%
PPV:51.9%
NPV:88.9%
"
"37",37,0.756060606060606,"Sens:60.0%
Spec:86.4%
PPV:75.0%
NPV:76.0%
",0.517460317460318,"Sens:26.7%
Spec:100.0%
PPV:100.0%
NPV:65.6%
"
"38",38,0.718181818181818,"Sens:93.3%
Spec:45.5%
PPV:53.8%
NPV:90.9%
",0.598412698412698,"Sens:73.3%
Spec:52.4%
PPV:52.4%
NPV:73.3%
"
"39",39,0.603030303030303,"Sens:33.3%
Spec:90.9%
PPV:71.4%
NPV:66.7%
",0.711111111111111,"Sens:93.3%
Spec:42.9%
PPV:53.8%
NPV:90.0%
"
"40",40,0.718181818181818,"Sens:60.0%
Spec:81.8%
PPV:69.2%
NPV:75.0%
",0.593650793650794,"Sens:46.7%
Spec:76.2%
PPV:58.3%
NPV:66.7%
"
"41",41,0.681818181818182,"Sens:53.3%
Spec:90.9%
PPV:80.0%
NPV:74.1%
",0.607936507936508,"Sens:93.3%
Spec:33.3%
PPV:50.0%
NPV:87.5%
"
"42",42,0.722727272727273,"Sens:46.7%
Spec:100.0%
PPV:100.0%
NPV:73.3%
",0.588888888888889,"Sens:93.3%
Spec:38.1%
PPV:51.9%
NPV:88.9%
"
"43",43,0.645454545454546,"Sens:86.7%
Spec:40.9%
PPV:50.0%
NPV:81.8%
",0.646031746031746,"Sens:33.3%
Spec:100.0%
PPV:100.0%
NPV:67.7%
"
"44",44,0.724242424242424,"Sens:66.7%
Spec:72.7%
PPV:62.5%
NPV:76.2%
",0.56984126984127,"Sens:33.3%
Spec:95.2%
PPV:83.3%
NPV:66.7%
"
"45",45,0.675757575757576,"Sens:80.0%
Spec:59.1%
PPV:57.1%
NPV:81.2%
",0.666666666666667,"Sens:46.7%
Spec:90.5%
PPV:77.8%
NPV:70.4%
"
"46",46,0.610606060606061,"Sens:33.3%
Spec:95.5%
PPV:83.3%
NPV:67.7%
",0.682539682539683,"Sens:40.0%
Spec:95.2%
PPV:85.7%
NPV:69.0%
"
