"Table S3B:GAM regression between age and metabolites in 209 RA baseline data, 56 IAR and 99 health.",,,,,,,,,,,,,,,,,,,,,
metabolites,RA,,,,,,,IAR,,,,,,,HC,,,,,,
,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear,estimated degrees of freedom,AIC_non_linear,AIC_linear,suitble for lm,p_value_non_linear,coefficient_linear,p_value_linear
2-Methylpropanoate,2.345432267,429.9616296,432.2326983,no,0.102942477,0.005881398,0.202065197,1.000055119,136.1070052,136.1068253,yes,0.977970207,-0.000306704,0.977141233,1.000095276,175.0529095,175.0526224,yes,0.815391602,0.001664264,0.815223131
Glyceric acid,2.550356573,200.4413578,203.0994152,no,0.097983845,0.002955941,0.249829029,1.000046282,68.05887802,68.05871504,yes,0.363645832,0.005317087,0.363621138,1.008249077,163.460688,163.4446283,yes,0.997591316,0.000119306,0.98582496
Alpha-Ketoisovaleric acid,2.09180198,305.0480066,306.1623417,no,0.298011449,-6.27E-05,0.985002866,1.4294346,101.5953199,101.1699183,yes,0.78529901,0.000363521,0.962997129,1.000091933,179.0740234,179.0737504,yes,0.759067961,0.002230463,0.758942286
Methylsuccinic acid,2.714971023,218.4718174,220.936384,no,0.097826312,0.003326701,0.216026946,1.000019957,64.27759385,64.27751942,yes,0.066477484,0.010509084,0.066474091,1.000066234,124.6262142,124.6259612,yes,0.197144242,0.007149951,0.197120663
Oxalacetic acid,2.862296583,200.0523054,204.1595612,no,0.015815869,0.005432215,0.035674205,1.000050079,69.36734463,69.36719105,yes,0.130032965,0.009027108,0.130019436,1.000099748,150.8086425,150.8082628,yes,0.198033463,0.008144686,0.197997756
Oxoglutaric acid,3.094852593,520.0684636,526.3267706,no,0.040822281,0.002601535,0.656545937,1.000054013,97.69331488,97.69311323,yes,0.277656736,0.008292308,0.277632608,1.000103249,172.8482394,172.8479527,yes,0.086408772,0.012167423,0.086387382
2-Hydroxyglutarate,2.349293515,424.5021571,426.8804586,no,0.174149344,0.002332393,0.607415713,1.000048127,101.6122414,101.6120564,yes,0.219432524,0.009729274,0.219414147,1.000048887,111.1288733,111.1286831,yes,0.31186064,0.005228369,0.311837371
Fructose,2.215069921,259.4586568,260.2936145,no,0.040058497,0.006719947,0.024450391,1.000026522,61.17919849,61.17911166,yes,0.075821919,0.009879634,0.075816938,1.599647173,178.7219721,178.3755196,yes,0.34228692,0.00800794,0.270275817
Glucose 1-phosphate,2.224883583,381.8749631,381.5937047,yes,0.4761983,0.003384945,0.402899372,1.427877536,120.8654507,120.441457,yes,0.05754802,0.021181215,0.026176059,1.152733549,219.1890235,218.9378243,yes,0.220245615,0.012244585,0.170357901
Geranyl-PP,2.47601913,311.8349177,313.7818956,no,0.226348221,-0.000967068,0.776155684,1.000057324,138.6921033,138.6919049,yes,0.449210045,0.008312057,0.449174031,1.000049805,121.6714923,121.6713164,yes,0.990239385,-7.83E-05,0.988518768
