,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta112,meta112,1.278195808,0.291163181,131.7367825,131.3566677,0.013451169,0.010212128,0.193341691,Trimethylamine N-oxide,1,1,1
meta113,meta113,1.000192575,0.127609852,173.3303069,173.3298192,0.022989681,0.014854997,0.127558395,Sarcosine,1,1,1
meta114,meta114,1.000098068,0.367034397,130.0391324,130.0388265,0.009182106,0.010092672,0.366981828,Alanine,1,1,1
meta115,meta115,1.000092255,0.170659207,134.2427684,134.2425112,0.014551606,0.010478677,0.170629389,Cadaverine,1,1,1
meta116,meta116,1.000131765,0.664481499,150.9552829,150.9548669,0.005307729,0.012164963,0.664349322,3-Aminoisobutyric acid,1,1,1
meta117,meta117,1.000060361,0.23549768,132.057885,132.0577018,0.012328935,0.010276248,0.235473745,Choline,1,1,1
meta118,meta118,1.000202286,0.181125939,131.4202869,131.4197533,0.013845266,0.010217881,0.181057981,Dimethylglycine,1,1,1
meta119,meta119,1.000068385,0.456308247,129.4661867,129.4659884,0.007535008,0.010041183,0.456265003,Serine,1,1,1
meta120,meta120,1.000122392,0.062014605,239.7676919,239.7672219,0.051237519,0.026883894,0.061994357,Cytosine,1,1,1
meta121,meta121,1.000168997,0.346115181,131.2766141,131.2761359,0.009700963,0.010204788,0.346028451,Creatinine,1,1,1
meta122,meta122,1.000049697,0.208654259,168.030835,168.0306638,-0.018029902,0.014168517,0.208635987,Proline,1,1,1
meta123,meta123,1.000174649,0.437339501,134.6925445,134.692068,0.008234456,0.010520822,0.437232971,5-Aminopentanoic acid,1,1,1
meta124,meta124,1.000152908,0.813251701,156.7548159,156.7543692,-0.00304578,0.012811474,0.812983733,Betaine,1,1,1
meta125,meta125,1.000087565,0.193815782,166.4256725,166.4253615,0.018378267,0.013966887,0.193784892,Valine,1,1,1
meta126,meta126,1.000079525,0.91126962,232.5992901,232.598989,-0.002832618,0.025217175,0.910979153,Indole,1,1,1
meta127,meta127,1.000069558,0.416513133,127.8116425,127.8114452,0.00810163,0.009893938,0.416472346,Homoserine,1,1,1
meta128,meta128,1.000116991,0.479350744,127.6298326,127.629488,0.007037172,0.009877877,0.479273355,Threonine,1,1,1
meta129,meta129,1.000110504,0.013592873,221.4299946,221.4296446,0.058236843,0.02282369,0.013587287,Cysteine,1,1,1
