,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name,suitble1,suitble2,suitble for lm
meta102,meta102,1.000049805,0.990239385,121.6714923,121.6713164,-7.83E-05,0.00542386,0.988518768,Geranyl-PP,1,1,1
meta103,meta103,1.000061638,0.108296577,151.1596241,151.1593938,0.01020349,0.006294885,0.108281692,Adenylsuccinic acid,1,1,1
meta104,meta104,1.476124219,0.454222158,204.6359706,204.1530388,0.008453862,0.008226676,0.306686318,Glycerol 3-phosphate,1,1,1
meta105,meta105,1.000089763,0.882931893,183.3094937,183.3091605,0.001095573,0.007404663,0.882683655,Glyceraldehyde,1,1,1
meta106,meta106,1.000091869,0.809328615,214.1705121,214.1702211,0.002095511,0.008653587,0.80917118,Pyruvic acid,1,1,1
meta107,meta107,1.00004225,0.629503007,130.191443,130.1912924,0.002740672,0.005662344,0.629464619,Methyl-3-methyl-2-oxopentanoate,1,1,1
meta108,meta108,1.262022431,0.475810863,279.1843628,278.8160288,0.01137125,0.011994736,0.345475125,Isocitric acid,1,1,1
meta109,meta109,1.226279335,0.822893909,196.9279241,196.5958482,0.002805929,0.0079186,0.723848351,Homovanillic acid,1,1,1
meta110,meta110,1.000336817,0.165877341,316.9797726,316.9789281,0.020310428,0.014544455,0.165769961,Trimethylamine,1,1,1
meta111,meta111,1.000094795,0.917421315,266.3811043,266.3807956,0.001176259,0.011264584,0.917050848,Glycine,1,1,1
meta112,meta112,1.000098203,0.076776238,257.1459627,257.1456106,0.019232563,0.010751242,0.07675742,Trimethylamine N-oxide,1,1,1
meta113,meta113,1.000092937,0.267447583,294.5294762,294.5291159,0.014484769,0.012985416,0.267407368,Sarcosine,1,1,1
meta114,meta114,1.000092946,0.263782679,237.1385542,237.138221,0.010923983,0.009717942,0.263742859,Alanine,1,1,1
meta115,meta115,1.000093364,0.102489662,249.44295,249.4426525,0.017048039,0.01034101,0.102467868,Cadaverine,1,1,1
meta116,meta116,1.00009064,0.349489541,223.6335404,223.6332148,0.008534528,0.009077209,0.349442808,3-Aminoisobutyric acid,1,1,1
meta117,meta117,1.000093323,0.209680026,239.3158374,239.315493,0.012408687,0.009825394,0.209645356,Choline,1,1,1
meta118,meta118,1.000093559,0.167217724,241.0160362,241.015696,0.013792212,0.009910126,0.16718763,Dimethylglycine,1,1,1
meta119,meta119,1.000092343,0.339474759,236.08146,236.0811159,0.009279821,0.009666197,0.33942801,Serine,1,1,1
meta120,meta120,1.000683889,0.084894684,410.7653019,410.7637083,0.04067668,0.023356383,0.084754636,Cytosine,1,1,1
meta121,meta121,1.000090468,0.4775961,279.6829513,279.6826035,0.008590169,0.012047348,0.477536556,Creatinine,1,1,1
meta122,meta122,1.000145081,0.940850269,263.6060776,263.605544,0.000837454,0.011107797,0.940057049,Proline,1,1,1
meta123,meta123,1.000093053,0.099183277,284.4441706,284.4438064,0.020545651,0.012340555,0.099161912,5-Aminopentanoic acid,1,1,1
meta124,meta124,1.000072954,0.231851929,267.776774,267.7764927,0.01364955,0.011344269,0.231823068,Betaine,1,1,1
meta125,meta125,1.000112973,0.533336742,322.1425587,322.1421644,0.00933467,0.014928718,0.533253803,Valine,1,1,1
meta126,meta126,1.000165252,0.448954582,378.8672653,378.866685,0.01511794,0.019881193,0.448851493,Indole,1,1,1
meta127,meta127,1.000093347,0.316570482,231.7704204,231.7700866,0.00952253,0.009458011,0.316525475,Homoserine,1,1,1
meta128,meta128,1.000093849,0.310411612,232.1904131,232.1900794,0.009665623,0.009478094,0.310366948,Threonine,1,1,1
meta129,meta129,1.000277054,0.977340789,402.6086417,402.6078608,0.000754099,0.022413852,0.973229924,Cysteine,1,1,1
meta130,meta130,1.00009244,0.267413232,239.397329,239.3969839,0.010965174,0.009829438,0.267373268,Niacinamide,1,1,1
meta131,meta131,1.00009357,0.247878052,241.6034457,241.6031033,0.011555859,0.009939571,0.247839533,Taurine,1,1,1
