"metabolic","nonNA_MHY","detected_MHY","nonNA_MHN","detected_MHN","nonNA_MLY","detected_MLY","nonNA_MLN","detected_MLN","MH_pvalue","MH_test_used","ML_pvalue","ML_test_used"
"Homogentisic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Uric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Dihydroxyacetone phosphate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glyceraldehyde 3-phosphate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Shikimic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Citrulline",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Hippuric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Myo-Inositol",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Lactose",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Hydroxyphenylpyruvic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Pyridoxic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"2-Phosphoglyceric acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Azelaic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"4-Hydroxy-2-quinolinecarboxylic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Glucuronic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Indoxyl sulfate",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
"Pantothenic acid",20,1,27,1,30,1,43,1,1,"Fisher",1,"Fisher"
